Organism	Proteomic Datasets
Chryseobacterium indologenes	Biodiversity_C_indologenes_LIB_aerobic_01_03May16_Samwise_16-03-32, Biodiversity_C_indologenes_LIB_aerobic_02_03May16_Samwise_16-03-32, Biodiversity_C_indologenes_LIB_aerobic_03_03May16_Samwise_16-03-32
Halomonas HL-48	Biodiversity_HL48_HLHxylose_aerobic_1_09Jun16_Pippin_16-03-39, Biodiversity_HL48_HLHxylose_aerobic_2_09Jun16_Pippin_16-03-39, Biodiversity_HL48_HLHxylose_aerobic_3_09Jun16_Pippin_16-03-39
Halomonas HL-93	Biodiversity_HL93_HLHfructose_aerobic_1_09Jun16_Pippin_16-03-39, Biodiversity_HL93_HLHfructose_aerobic_2_09Jun16_Pippin_16-03-39, Biodiversity_HL93_HLHfructose_aerobic_3_09Jun16_Pippin_16-03-39
Roseibaca HL-91	Biodiversity_HL91_HLHsucrose_aerobic_1_09Jun16_Pippin_16-03-39, Biodiversity_HL91_HLHsucrose_aerobic_2_09Jun16_Pippin_16-03-39, Biodiversity_HL91_HLHsucrose_aerobic_3_09Jun16_Pippin_16-03-39
Erythrobacter HL-111	Biodiversity_HL111_HLHglutamate_aerobic_1_14July16_Pippin_16-05-01, Biodiversity_HL111_HLHglutamate_aerobic_2_14July16_Pippin_16-05-01, Biodiversity_HL111_HLHglutamate_aerobic_3_14July16_Pippin_16-05-01
Algoriphagus HL-49	Biodiversity_HL49_HLHYE_aerobic_1_05Oct16_Pippin_16-05-06, Biodiversity_HL49_HLHYE_aerobic_2_05Oct16_Pippin_16-05-06, Biodiversity_HL49_HLHYE_aerobic_3_05Oct16_Pippin_16-05-06
Cyanobacterium staneri HL-69	Biodiversity_HL69_HLA_aerobic_1_05Oct16_Pippin_16-05-06, Biodiversity_HL69_HLA_aerobic_2_05Oct16_Pippin_16-05-06, Biodiversity_HL69_HLA_aerobic_3_05Oct16_Pippin_16-05-06
Rhodopseudomonas palustris CGA009	Biodiversity_R_palustris_PM_aerobic_1_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PM_aerobic_2_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PM_aerobic_3_01Jun16_Pippin_16-03-39
Rhodopseudomonas palustris CGA009	Biodiversity_R_palustris_PMnitro_anaerobic_1_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PMnitro_anaerobic_2_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PMnitro_anaerobic_3_01Jun16_Pippin_16-03-39
Rhodopseudomonas palustris CGA009	Biodiversity_R_palustris_PMnonnitro_anaerobic_1_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PMnonnitro_anaerobic_2_01Jun16_Pippin_16-03-39, Biodiversity_R_palustris_PMnonnitro_anaerobic_3_01Jun16_Pippin_16-03-39
Mycobacterium smegmatis	Biodiversity_M_smegmatis_BHI_aerobic_1_05Oct16_Pippin_16-05-06, Biodiversity_M_smegmatis_BHI_aerobic_2_05Oct16_Pippin_16-05-06, Biodiversity_M_smegmatis_BHI_aerobic_3_05Oct16_Pippin_16-05-06
Myxococcus xanthus DZ2	Biodiversity_M_xanthus_DZ2_24h_plates_1_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_DZ2_24h_plates_2_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_DZ2_24h_plates_3_13Jun16_Pippin_16-03-39
Myxococcus xanthus DZ2	Biodiversity_M_xanthus_DZ2_48h_plates_1_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_DZ2_48h_plates_2_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_DZ2_48h_plates_3_13Jun16_Pippin_16-03-39
Bacillus subtilis NCIB3610	Biodiversity_B_subtilis_NCIB3610_24h_plates_1_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_NCIB3610_24h_plates_2_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_NCIB3610_24h_plates_3_13Jun16_Pippin_16-03-39
Bacillus subtilis NCIB3610	Biodiversity_B_subtilis_NCIB3610_48h_plates_1_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_NCIB3610_48h_plates_2_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_NCIB3610_48h_plates_3_13Jun16_Pippin_16-03-39
Myxococcus xanthus DZ2	Biodiversity_M_xanthus_pellet_set2_1_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_pellet_set2_2_13Jun16_Pippin_16-03-39, Biodiversity_M_xanthus_pellet_set2_3_13Jun16_Pippin_16-03-39
Bacillus subtilis NCIB3610	Biodiversity_B_subtilis_pellet_set2_1_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_pellet_set2_2_13Jun16_Pippin_16-03-39, Biodiversity_B_subtilis_pellet_set2_3_13Jun16_Pippin_16-03-39
Paenibacillus polymyxa ATCC842	Biodiversity_P_polymyxa_TBS_aerobic_1_17July16_Samwise_16-04-10, Biodiversity_P_polymyxa_TBS_aerobic_2_17July16_Samwise_16-04-10, Biodiversity_P_polymyxa_TBS_aerobic_3_17July16_Samwise_16-04-10
Bacillus cereus ATCC14579	Biodiversity_B_cereus_ATCC14579_LB_aerobic_1_17July16_Samwise_16-04-10, Biodiversity_B_cereus_ATCC14579_LB_aerobic_3_17July16_Samwise_16-04-10, Biodiversity_B_cereus_ATCC14579_LB_aerobic_2_17July16_Samwise_16-04-10
Stigmatella aurantiaca DW4/3-1	Biodiversity_S_aurantiaca_CYE_aerobic_1_17July16_Samwise_16-04-10, Biodiversity_S_aurantiaca_CYE_aerobic_2_17July16_Samwise_16-04-10, Biodiversity_S_aurantiaca_CYE_aerobic_3_17July16_Samwise_16-04-10
Clostridium ljungdahlii DMS 13528 ATCC 55383	Biodiversity_C_ljungdahlii_Fructose_anaerobic_1_04Oct16_Pippin_16-05-06, Biodiversity_C_ljungdahlii_Fructose_anaerobic_2_04Oct16_Pippin_16-05-06, Biodiversity_C_ljungdahlii_Fructose_anaerobic_3_04Oct16_Pippin_16-05-06
Clostridium ljungdahlii DMS 13528 ATCC 55383	Biodiversity_C_ljungdahlii_CO_anaerobic_1_04Oct16_Pippin_16-05-06, Biodiversity_C_ljungdahlii_CO_anaerobic_2_04Oct16_Pippin_16-05-06, Biodiversity_C_ljungdahlii_CO_anaerobic_3_04Oct16_Pippin_16-05-06
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_01_28Jul15_Arwen_14-12-03
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_Carb_01_28Oct15_Arwen_15-07-13
Bacteroides thetaiotaomicron VPI15482	Biodiversity_B_thetaiotaomicron_Glc_01_26Aug15_Arwen_15-07-13, Biodiversity_B_thetaiotaomicron_Carb_01_26Aug15_Arwen_15-07-13
Coprococcus comes ATCC 27758	Biodiversity_C_comes_Glc_01_28Oct15_Arwen_15-07-13, Biodiversity_C_comes_LIB_01_28Oct15_Arwen_15-07-13
Coprococcus comes ATCC 27758	Biodiversity_C_comes_Carb_01_14Sep15_Arwen_15-07-13
Citrobacter freundii UCI31	Biodiversity_C_freundii_LB_01_14Sep15_Arwen_15-07-13
Citrobacter freundii UCI31	Biodiversity_C_freundii_LIB_01_28Oct15_Arwen_15-07-13
Dorea longicatena DSM13814	Biodiversity_D_longicatena_Glc_01_28Oct15_Arwen_15-07-13
Dorea longicatena DSM13814	Biodiversity_D_longicatena_CarbII_01_26Aug15_Arwen_15-07-13, Biodiversity_D_longicatena_CarbI_01_26Aug15_Arwen_15-07-13
Anaerococcus hydrogenalis DSM 7454	Biodiversity_P_hydrogenalis_01_28Jul15_Arwen_14-12-03
Ruminococcus gnavus ATCC 29149	Biodiversity_R_gnavus_01_28Jul15_Arwen_14-12-03
Faecalibacterium prausnitzii ATCC 27766	Biodiversity_F_prausnitzii_Glc_01_28Oct15_Arwen_15-07-13
Faecalibacterium prausnitzii ATCC 27766	Biodiversity_F_prausnitzii_LIB_01_28Oct15_Arwen_15-07-13
Faecalibacterium prausnitzii ATCC 27766	Biodiversity_F_prausnitzii_Carb_01_28Oct15_Arwen_15-07-13
Campylobacter jejuni F38011	Cj_media_MH_R1_23Feb15_Arwen_14-12-03, Cj_media_MH_R2_23Feb15_Arwen_14-12-03, Cj_media_MH_R3_23Feb15_Arwen_14-12-03, Cj_media_MH_R4_23Feb15_Arwen_14-12-03, Cj_media_MH_R5_23Feb15_Arwen_14-12-03
Cellulophaga baltica 18	Biodiversity_C_Baltica_T240_R1_C_27Jan16_Arwen_15-07-13, Biodiversity_C_Baltica_T240_R2_C_27Jan16_Arwen_15-07-13, Biodiversity_C_Baltica_T240_R3_C_27Jan16_Arwen_15-07-13
Cellulophaga baltica 18	Biodiversity_C_Baltica_T240_R1_Inf_27Jan16_Arwen_15-07-13, Biodiversity_C_Baltica_T240_R2_Inf_27Jan16_Arwen_15-07-13, Biodiversity_C_Baltica_T240_R3_Inf_27Jan16_Arwen_15-07-13
Legionella pneumophila Philadelphia 1	LP_LS_Phi_Stat_R1_30Sep14_Pippin_13-04-12, LP_LS_Phi_Stat_R2_30Sep14_Pippin_13-04-12, LP_LS_Phi_Stat_R3_30Sep14_Pippin_13-04-12
Prevotella ruminicola 23 ATCC 19189	Biodiversity_P_ruminicola_MDM_anaerobic_1_09Jun16_Pippin_16-03-39, Biodiversity_P_ruminicola_MDM_anaerobic_2_09Jun16_Pippin_16-03-39
Streptomyces venezuelae ATCC 10712	S_venezuelae_GYM_1_21Mar16_Arwen_16-01-03, S_venezuelae_GYM_2_21Mar16_Arwen_16-01-03
Streptomyces venezuelae ATCC 10712	S_venezuelae_MYM_1_21Mar16_Arwen_16-01-03, S_venezuelae_MYM_2_21Mar16_Arwen_16-01-03
Pseudomonas putida KT2440 WT	P_putida_17Nov15_1_21Mar16_Arwen_16-01-03, P_putida_17Nov15_2_21Mar16_Arwen_16-01-03, P_putida_18Nov15_1_21Mar16_Arwen_16-01-03, P_putida_18Nov15_2_21Mar16_Arwen_16-01-03, P_putida_01Dec15_1_21Mar16_Arwen_16-01-03, P_putida_01Dec15_2_21Mar16_Arwen_16-01-03
Bacillus cereus ATCC14579	Biodiversity_B_cereus_PN_L_CL_1_09Oct16_Pippin_16-05-06, Biodiversity_B_cereus_PN_L_CL_2_09Oct16_Pippin_16-05-06, Biodiversity_B_cereus_PN_L_CL_3_09Oct16_Pippin_16-05-06
Myxococcus xanthus DZ2	Biodiversity_M_xanthus_DZ2_pellet_1_03May16_Samwise_16-03-32, Biodiversity_M_xanthus_DZ2_pellet_2_03May16_Samwise_16-03-32
Myxococcus xanthus DZ2	Biodiversity_M_xanthus_DZ2_plates_1_03May16_Samwise_16-03-32, Biodiversity_M_xanthus_DZ2_plates_2_03May16_Samwise_16-03-32
Bacillus subtilis NCIB3610	Biodiversity_B_subtilis_NCIB3610_pellet_1_03May16_Samwise_16-03-32, Biodiversity_B_subtilis_NCIB3610_pellet_2_03May16_Samwise_16-03-32
Bacillus subtilis NCIB3610	Biodiversity_B_subtilis_NCIB3610_plates_1_03May16_Samwise_16-03-32, Biodiversity_B_subtilis_NCIB3610_plates_2_03May16_Samwise_16-03-32
